config_name,variant,seed,result_file,parameter_count,train_loss,train_ppl,train_tokens_per_second,train_step_time_ms,val_loss,val_ppl,eval_tokens_per_second,eval_step_time_ms,mean_attention_trigger_rate,mean_active_fraction,mean_halted_fraction,mean_halt_step,mean_executed_steps
always_attention,always_attention,0,wikitext103_always_attention_seed0.json,13220772,7.5332223582267765,1869.118780165644,1522.7379932453593,168.11821937561035,8.561159557766384,5224.736044544318,10752.763065409814,22.48517672220866,1.0,1.0,0.0,2.0,2.0
always_attention,always_attention,1,wikitext103_always_attention_seed1.json,13220772,nan,nan,1520.8261737402643,168.32955956459045,nan,nan,28119.249800508358,8.598301145765516,0.0,1.0,0.0,2.0,2.0
always_attention,always_attention,2,wikitext103_always_attention_seed2.json,13220772,7.6499337530136104,2100.5064325898165,1498.2265662325137,170.86868286132812,8.718289375305176,6113.711871421169,24780.765523945025,9.756671057807075,1.0,1.0,0.0,2.0,2.0
full_h07,full,0,wikitext103_full_h07_seed0.json,13220772,7.850763478279114,2567.693947228111,1531.385816950316,167.1688461303711,8.597647137112087,5418.894664041415,26296.046444757532,9.194453557332357,0.5555555555555556,0.5609809027777778,0.4390190972222222,1.65234375,2.0
full_h07,full,1,wikitext103_full_h07_seed1.json,13220772,7.790524983406067,2417.5864418654605,1547.7288234490306,165.4036521911621,8.583636601765951,5343.502424886192,24288.082177271917,9.954584969414604,0.9166666666666666,0.6804470486111112,0.3195529513888889,1.9014756944444444,2.0
full_h07,full,2,wikitext103_full_h07_seed2.json,13220772,7.656967966556549,2115.3339321451895,1539.3176644200726,166.307452917099,8.592377874586317,5390.416181649476,28121.502466499667,8.597612380981445,0.3333333333333333,0.9532335069444444,0.04676649305555555,1.9559461805555556,2.0
halting_only_h07,halting_only,0,wikitext103_halting_only_h07_seed0.json,13088676,7.6345802545547485,2068.5026242109793,1582.1686270849145,161.80323362350464,8.602670139736599,5446.182261624574,21494.611522600793,11.248297161526152,0.0,0.9690755208333334,0.030924479166666668,1.9698350694444444,2.0
halting_only_h07,halting_only,1,wikitext103_halting_only_h07_seed1.json,13088676,7.776108181476593,2382.9826145958364,1555.1441874770683,164.61496114730835,8.65568987528483,5742.72936417411,30030.585666481307,8.05105103386773,0.0,0.9395616319444444,0.06043836805555555,1.955078125,2.0
halting_only_h07,halting_only,2,wikitext103_halting_only_h07_seed2.json,13088676,7.767076988220214,2361.558327134971,1283.7610646549797,199.41405534744263,8.658000840081108,5756.015956079194,28375.047035743934,8.520788616604277,0.0,0.8560112847222222,0.1439887152777778,1.8849826388888888,2.0
plain,plain,0,wikitext103_plain_seed0.json,13088160,6.999864661693573,1096.4847519967898,1594.2504691456436,160.57702660560608,8.487266964382595,4852.585644175362,74423.124940881,3.2486915588378906,,,,,
plain,plain,1,wikitext103_plain_seed1.json,13088160,7.040827369689941,1142.332346910011,1547.5978554475953,165.41764974594116,8.391824510362413,4410.858013330986,82609.72931092224,2.9267470041910806,,,,,
plain,plain,2,wikitext103_plain_seed2.json,13088160,7.091016545295715,1201.1281814219385,1664.9230761692563,153.76085758209229,8.492944505479601,4880.214757091485,70545.90183499003,3.4272405836317272,,,,,
