config_name,variant,seed,result_file,parameter_count,train_loss,train_ppl,train_tokens_per_second,train_step_time_ms,val_loss,val_ppl,eval_tokens_per_second,eval_step_time_ms,mean_attention_trigger_rate,mean_active_fraction,mean_halted_fraction,mean_halt_step,mean_executed_steps
always_attention,always_attention,0,wikitext103_always_attention_seed0.json,13220772,8.126356711387634,3382.453833731708,1525.3501761876328,167.83031463623047,8.012765455245972,3019.2551933876716,21971.614688097892,11.651396751403809,1.0,1.0,0.0,2.0,2.0
always_attention,always_attention,1,wikitext103_always_attention_seed1.json,13220772,8.771374123096466,6447.0253869553335,1456.5834924593676,175.75374245643616,8.33477816581726,4166.2772315127095,25807.503376933022,9.919595718383789,1.0,1.0,0.0,2.0,2.0
always_attention,always_attention,2,wikitext103_always_attention_seed2.json,13220772,8.051929879188538,3139.8486565461762,1545.5221399009808,165.63981413841248,8.132718181610107,3404.039799517597,28255.471511425956,9.060192108154297,1.0,1.0,0.0,2.0,2.0
full_h07,full,0,wikitext103_full_h07_seed0.json,13220772,8.432972447872162,4596.141599901815,1586.3756134648008,161.3741397857666,8.03519778251648,3087.749484958268,30257.925565640824,8.460593223571777,0.0,0.410546875,0.589453125,1.60703125,2.0
full_h07,full,1,wikitext103_full_h07_seed1.json,13220772,8.260505299568177,3868.048129804067,1516.3180706666794,168.83001327514648,8.101136493682862,3298.2143458429755,27295.837629521167,9.378719329833984,0.85,0.67333984375,0.32666015625,1.895703125,2.0
full_h07,full,2,wikitext103_full_h07_seed2.json,13220772,8.20645229101181,3664.5187316742968,1596.1738748222679,160.38352966308594,8.009568738937379,3009.6189015229425,31861.586103346566,8.034753799438477,0.0,0.896875,0.103125,1.9650390625,2.0
halting_only_h07,halting_only,0,wikitext103_halting_only_h07_seed0.json,13088676,8.312361242771148,4073.921152503444,1594.5295732542302,160.5489194393158,8.088263845443725,3256.029689389493,30259.204617188203,8.460235595703125,0.0,0.9716796875,0.0283203125,1.975390625,2.0
halting_only_h07,halting_only,1,wikitext103_halting_only_h07_seed1.json,13088676,8.287876086235046,3975.381853447756,1566.5952400791382,163.411705493927,8.012484931945801,3018.4083407432663,30293.77993076461,8.450579643249512,0.0,0.94755859375,0.05244140625,1.9697265625,2.0
halting_only_h07,halting_only,2,wikitext103_halting_only_h07_seed2.json,13088676,8.273302230834961,3917.8653497846212,1610.6552854860042,158.9415204524994,8.058416557312011,3160.2820448962975,32576.327759034975,7.858467102050782,0.0,0.58740234375,0.41259765625,1.7748046875,2.0
plain,plain,0,wikitext103_plain_seed0.json,13088160,7.904623010158539,2709.7807598005797,1577.4747553635725,162.28468894958496,7.827989625930786,2509.8785033910585,85826.56499288604,2.982759475708008,,,,,
plain,plain,1,wikitext103_plain_seed1.json,13088160,7.928143486976624,2774.2715493367596,1735.9280261865463,147.4715518951416,7.790444374084473,2417.391569716847,86877.23608942254,2.9466867446899414,,,,,
plain,plain,2,wikitext103_plain_seed2.json,13088160,7.982295291423798,2928.6454501823905,1694.4021953623128,151.0857343673706,7.819058752059936,2487.562892325182,76185.40237551264,3.3602237701416016,,,,,
