variant_label,variant,seed,halting_threshold,router_threshold,benchmark_tokens_per_second,average_forward_time_ms,peak_gpu_memory_mb,mean_attention_trigger_rate,mean_active_fraction,mean_halted_fraction,mean_halt_step,mean_executed_steps,logit_l2_vs_plain_mamba3,logit_mae_vs_plain_mamba3,json_path,log_path,command
plain,plain,0,0.5,0.5,4050.9998792707956,3.9496421813964844,9.58935546875,,,,,,,,results/fullb_experiments/sweep_plain_b1_p16_seed0.json,results/fullb_experiments/logs/sweep_plain_b1_p16_seed0.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant plain --seed 0 --output-json results/fullb_experiments/sweep_plain_b1_p16_seed0.json
always_attention,always_attention,0,0.5,0.0,1508.2439931047968,10.608363151550293,11.44970703125,1.0,1.0,0.0,2.0,2.0,104.1336441040039,0.6479963064193726,results/fullb_experiments/sweep_always_attention_b1_p16_seed0.json,results/fullb_experiments/logs/sweep_always_attention_b1_p16_seed0.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant always_attention --seed 0 --output-json results/fullb_experiments/sweep_always_attention_b1_p16_seed0.json
halting_only,halting_only,0,0.5,0.5,1633.9859242549119,9.792006015777588,10.02880859375,0.0,0.390625,0.609375,1.59375,2.0,105.5368881225586,0.6592756509780884,results/fullb_experiments/sweep_halting_only_b1_p16_seed0_h0p5.json,results/fullb_experiments/logs/sweep_halting_only_b1_p16_seed0_h0p5.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant halting_only --seed 0 --halt-threshold 0.5 --output-json results/fullb_experiments/sweep_halting_only_b1_p16_seed0_h0p5.json
halting_only,halting_only,0,0.7,0.5,1551.0511317017476,10.315585136413574,10.02880859375,0.0,0.96875,0.03125,1.96875,2.0,104.26880645751953,0.6523582935333252,results/fullb_experiments/sweep_halting_only_b1_p16_seed0_h0p7.json,results/fullb_experiments/logs/sweep_halting_only_b1_p16_seed0_h0p7.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant halting_only --seed 0 --halt-threshold 0.7 --output-json results/fullb_experiments/sweep_halting_only_b1_p16_seed0_h0p7.json
halting_only,halting_only,0,0.9,0.5,1595.6209200832657,10.02744436264038,10.02880859375,0.0,1.0,0.0,2.0,2.0,104.6007308959961,0.6534532904624939,results/fullb_experiments/sweep_halting_only_b1_p16_seed0_h0p9.json,results/fullb_experiments/logs/sweep_halting_only_b1_p16_seed0_h0p9.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant halting_only --seed 0 --halt-threshold 0.9 --output-json results/fullb_experiments/sweep_halting_only_b1_p16_seed0_h0p9.json
fullB,full,0,0.5,0.3,1502.8095916301652,10.646724700927734,11.44970703125,1.0,0.296875,0.703125,1.46875,2.0,105.01625061035156,0.6548177599906921,results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p5_r0p3.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed0_h0p5_r0p3.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 0 --halt-threshold 0.5 --router-threshold 0.3 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p5_r0p3.json
fullB,full,0,0.5,0.5,1225.909565033128,13.051533699035645,11.40771484375,0.75,0.296875,0.703125,1.46875,2.0,105.07294464111328,0.6550201177597046,results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p5_r0p5.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed0_h0p5_r0p5.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 0 --halt-threshold 0.5 --router-threshold 0.5 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p5_r0p5.json
fullB,full,0,0.5,0.7,1505.4914915072106,10.627758502960205,10.28173828125,0.0,0.296875,0.703125,1.46875,2.0,105.05416870117188,0.6547579765319824,results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p5_r0p7.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed0_h0p5_r0p7.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 0 --halt-threshold 0.5 --router-threshold 0.7 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p5_r0p7.json
fullB,full,0,0.7,0.3,1420.058995552057,11.26713752746582,11.44970703125,1.0,0.96875,0.03125,1.96875,2.0,103.43513488769531,0.6435697078704834,results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p7_r0p3.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed0_h0p7_r0p3.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 0 --halt-threshold 0.7 --router-threshold 0.3 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p7_r0p3.json
fullB,full,0,0.7,0.5,1589.4852974266055,10.06615161895752,11.36572265625,0.5,0.96875,0.03125,1.96875,2.0,104.0807876586914,0.6474168300628662,results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p7_r0p5.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed0_h0p7_r0p5.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 0 --halt-threshold 0.7 --router-threshold 0.5 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed0_h0p7_r0p5.json
