config,variant,seed,step,source_file,val_loss,val_ppl,train_tok_s,attention_trigger_rate,active_fraction,halted_fraction,mean_halt_step
full_h07,full,0,200,results/200step_largerdata_confirm/wikitext103_full_h07_seed0.json,8.03519778252,3087.74948496,1586.37561346,0,0.410546875,0.589453125,1.60703125
full_h07,full,1,200,results/200step_largerdata_confirm/wikitext103_full_h07_seed1.json,8.10113649368,3298.21434584,1516.31807067,0.85,0.67333984375,0.32666015625,1.895703125
full_h07,full,2,200,results/200step_largerdata_confirm/wikitext103_full_h07_seed2.json,8.00956873894,3009.61890152,1596.17387482,0,0.896875,0.103125,1.9650390625
full_h07,full,0,500,results/routeB_plain_vs_full_500step/wikitext103_full_h07_seed0.json,7.84912524223,2563.49090218,3277.66542851,0.05,0.81025390625,0.18974609375,1.88359375
full_h07,full,1,500,results/routeB_plain_vs_full_500step/wikitext103_full_h07_seed1.json,7.95764045715,2857.32301617,3173.85810899,0.625,0.80888671875,0.19111328125,1.8314453125
full_h07,full,2,500,results/routeB_plain_vs_full_500step/wikitext103_full_h07_seed2.json,7.98877382278,2947.68036414,3302.89159372,0.125,0.933984375,0.066015625,1.9650390625
full_h07,full,0,1000,results/routeB_plain_vs_full_1000step/wikitext103_full_h07_seed0.json,8.17848305702,3563.4450159,5271.72105046,0.425,0.8880859375,0.1119140625,1.909765625
full_h07,full,1,1000,results/routeB_plain_vs_full_1000step/wikitext103_full_h07_seed1.json,8.31732187271,4094.18057595,4976.38996775,0.475,0.84384765625,0.15615234375,1.8599609375
full_h07,full,2,1000,results/routeB_plain_vs_full_1000step/wikitext103_full_h07_seed2.json,8.46753854752,4757.78997059,5122.40293386,0.175,0.94072265625,0.05927734375,1.957421875
plain,plain,0,200,results/200step_largerdata_confirm/wikitext103_plain_seed0.json,7.82798962593,2509.87850339,1577.47475536,,,,
plain,plain,1,200,results/200step_largerdata_confirm/wikitext103_plain_seed1.json,7.79044437408,2417.39156972,1735.92802619,,,,
plain,plain,2,200,results/200step_largerdata_confirm/wikitext103_plain_seed2.json,7.81905875206,2487.56289233,1694.40219536,,,,
plain,plain,0,500,results/routeB_plain_vs_full_500step/wikitext103_plain_seed0.json,7.87833161354,2639.46523611,3933.10118843,,,,
plain,plain,1,500,results/routeB_plain_vs_full_500step/wikitext103_plain_seed1.json,7.86998753548,2617.53296168,3833.38389809,,,,
plain,plain,2,500,results/routeB_plain_vs_full_500step/wikitext103_plain_seed2.json,7.87611613274,2633.62402448,3790.04289433,,,,
plain,plain,0,1000,results/routeB_plain_vs_full_1000step/wikitext103_plain_seed0.json,8.43280673027,4595.38000145,6549.23111441,,,,
plain,plain,1,1000,results/routeB_plain_vs_full_1000step/wikitext103_plain_seed1.json,8.44063363075,4631.48870869,6772.79798561,,,,
plain,plain,2,1000,results/routeB_plain_vs_full_1000step/wikitext103_plain_seed2.json,8.54747190475,5153.70887702,6843.33452039,,,,
